EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,56,No,Non-Travel,Human Resources,5,2,Life Sciences,4,Male,2,3,Sales Executive,2,Single,54510,2,Yes,22,3,4,0,8,1,4,12,10,10,8
2,46,No,Travel_Frequently,Research & Development,19,3,Human Resources,2,Male,1,2,Research Scientist,3,Married,211604,5,No,17,3,1,3,0,5,3,25,16,14,12
3,32,No,Travel_Frequently,Sales,12,5,Human Resources,1,Female,2,3,Manufacturing Director,3,Divorced,111418,7,No,14,3,3,3,12,0,3,1,7,0,2
4,60,No,Travel_Rarely,Sales,5,3,Technical Degree,1,Male,2,3,Laboratory Technician,3,Divorced,168958,0,Yes,21,3,3,0,2,6,1,20,1,14,6
5,25,Yes,Travel_Rarely,Human Resources,28,4,Other,3,Male,4,5,Sales Executive,3,Divorced,121564,8,No,12,3,4,0,37,1,1,29,12,8,9
6,38,Yes,Travel_Frequently,Human Resources,15,2,Human Resources,2,Female,3,1,Manager,1,Single,194889,4,No,12,4,2,1,20,4,4,9,3,4,9
7,56,No,Travel_Rarely,Sales,13,1,Human Resources,3,Male,4,5,Manufacturing Director,3,Divorced,44926,6,Yes,10,3,4,2,12,0,1,8,0,14,16
8,36,Yes,Travel_Rarely,Human Resources,6,5,Life Sciences,3,Male,4,1,Human Resources,3,Single,245492,4,No,21,3,1,2,34,5,4,17,15,13,9
9,40,No,Travel_Rarely,Sales,4,3,Technical Degree,2,Female,2,5,Laboratory Technician,1,Single,86355,9,Yes,15,3,3,0,28,0,3,9,18,3,0
10,28,No,Non-Travel,Research & Development,20,4,Other,3,Female,3,5,Manager,4,Single,21574,8,No,14,3,4,3,31,0,4,33,8,13,13
11,28,No,Travel_Rarely,Human Resources,27,4,Human Resources,3,Female,2,4,Manufacturing Director,2,Single,43197,5,Yes,24,3,1,3,10,6,1,15,4,8,2
12,41,No,Travel_Frequently,Research & Development,9,4,Medical,2,Male,1,4,Human Resources,2,Single,238897,7,No,18,3,4,2,20,1,3,37,10,7,5
13,53,No,Non-Travel,Sales,18,3,Life Sciences,2,Male,3,1,Manufacturing Director,1,Divorced,186409,7,No,21,3,3,2,29,4,4,31,12,10,3
14,57,Yes,Travel_Rarely,Human Resources,22,4,Technical Degree,1,Male,2,2,Research Scientist,3,Single,137111,6,No,16,3,4,2,32,2,1,15,2,2,17
15,41,No,Travel_Rarely,Research & Development,27,5,Technical Degree,1,Female,3,4,Healthcare Representative,2,Married,94784,1,Yes,23,3,1,3,39,1,4,11,8,7,1
16,20,Yes,Travel_Frequently,Human Resources,8,2,Technical Degree,4,Male,2,1,Sales Executive,3,Married,77697,4,No,11,3,1,2,25,4,1,21,2,9,9
17,39,No,Non-Travel,Research & Development,30,1,Other,3,Female,1,2,Manufacturing Director,3,Married,52684,6,Yes,17,3,2,2,24,5,2,0,2,11,7
18,19,No,Travel_Frequently,Sales,25,1,Human Resources,2,Female,1,1,Healthcare Representative,2,Divorced,36502,7,No,16,3,3,3,39,6,1,13,7,9,10
19,41,No,Travel_Rarely,Human Resources,1,4,Marketing,1,Female,3,4,Research Scientist,4,Married,23573,2,No,13,3,2,3,30,6,1,32,2,3,7
20,47,No,Travel_Rarely,Research & Development,28,3,Medical,3,Male,2,4,Human Resources,3,Married,85337,9,No,19,3,3,3,33,2,2,11,4,6,8
21,55,No,Non-Travel,Human Resources,4,5,Medical,2,Female,4,2,Healthcare Representative,4,Married,67756,5,Yes,15,3,1,3,22,1,4,34,13,13,14
22,19,No,Travel_Frequently,Sales,5,1,Marketing,1,Female,3,2,Healthcare Representative,1,Divorced,199793,4,No,21,3,2,2,22,6,1,2,16,15,7
23,38,No,Travel_Frequently,Research & Development,16,3,Other,2,Male,1,3,Healthcare Representative,3,Married,112556,7,Yes,18,3,1,1,18,1,2,17,12,10,0
24,50,No,Non-Travel,Research & Development,30,4,Technical Degree,1,Male,3,3,Human Resources,3,Divorced,186101,3,No,20,3,3,1,5,4,3,2,2,8,10
25,29,Yes,Travel_Rarely,Research & Development,26,1,Life Sciences,1,Male,4,3,Laboratory Technician,4,Single,48550,2,No,18,3,4,2,3,2,4,10,6,13,9
26,39,No,Non-Travel,Research & Development,10,2,Life Sciences,1,Male,4,3,Human Resources,2,Single,156335,4,No,10,3,1,3,30,3,4,19,2,4,11
27,42,Yes,Travel_Rarely,Human Resources,21,4,Medical,3,Female,2,4,Research Scientist,1,Single,174994,9,Yes,18,3,2,0,36,0,2,25,15,10,13
28,44,No,Travel_Rarely,Human Resources,13,3,Medical,4,Male,4,4,Sales Executive,2,Married,95661,7,No,14,3,3,3,14,3,2,30,18,3,15
29,59,No,Non-Travel,Research & Development,17,1,Life Sciences,2,Female,3,3,Laboratory Technician,1,Married,143869,8,No,25,3,1,2,32,4,2,18,14,9,4
30,45,Yes,Travel_Rarely,Sales,30,5,Other,2,Male,3,4,Research Scientist,4,Single,169921,7,No,22,3,4,0,24,1,2,3,18,9,1
31,33,No,Travel_Rarely,Sales,4,5,Marketing,1,Female,2,2,Manufacturing Director,4,Married,57155,7,Yes,22,3,2,1,22,0,1,22,14,15,11
32,32,No,Travel_Rarely,Sales,17,1,Technical Degree,1,Female,4,3,Human Resources,2,Single,82810,5,No,25,3,2,1,27,3,2,34,14,15,16
33,20,No,Travel_Rarely,Sales,11,4,Life Sciences,3,Female,3,5,Manager,4,Married,189822,4,Yes,17,3,2,3,37,5,3,38,5,13,4
34,54,Yes,Non-Travel,Human Resources,19,5,Human Resources,4,Male,4,1,Sales Executive,4,Married,55076,1,No,10,3,4,1,21,1,3,18,16,2,17
35,24,Yes,Travel_Frequently,Human Resources,27,5,Other,4,Female,4,2,Manufacturing Director,1,Single,80474,8,No,10,3,1,3,35,2,3,21,14,8,8
36,38,No,Travel_Rarely,Sales,21,1,Technical Degree,2,Male,2,4,Sales Executive,3,Divorced,65356,8,Yes,12,4,2,0,4,1,1,29,15,6,1
37,26,No,Travel_Rarely,Research & Development,28,2,Technical Degree,1,Female,4,4,Research Scientist,1,Single,64485,4,No,25,4,4,1,18,1,4,27,18,15,17
38,56,Yes,Travel_Rarely,Sales,4,2,Life Sciences,2,Female,3,2,Sales Executive,1,Single,189611,0,No,19,3,4,2,37,5,1,19,5,0,15
39,35,No,Non-Travel,Research & Development,13,1,Medical,3,Male,3,1,Manager,2,Married,191526,6,No,22,3,2,1,16,6,4,34,4,8,15
40,21,Yes,Non-Travel,Human Resources,8,3,Technical Degree,2,Male,1,1,Human Resources,4,Married,106981,7,No,15,3,1,3,9,4,4,11,11,7,11
41,42,No,Non-Travel,Sales,23,4,Life Sciences,4,Male,1,5,Human Resources,2,Divorced,179633,7,No,24,3,3,0,17,2,4,2,5,0,6
42,31,No,Non-Travel,Human Resources,14,2,Marketing,4,Male,1,2,Sales Executive,1,Divorced,22917,2,No,11,4,1,1,33,3,2,36,11,7,10
43,26,No,Travel_Frequently,Research & Development,4,5,Other,4,Male,3,5,Laboratory Technician,2,Married,208901,6,No,19,3,3,3,39,6,4,26,6,1,8
44,43,No,Travel_Rarely,Sales,5,1,Marketing,4,Male,4,1,Laboratory Technician,1,Single,18062,7,No,21,3,1,2,1,6,1,38,7,4,0
45,19,No,Travel_Rarely,Research & Development,21,4,Technical Degree,1,Female,1,2,Sales Executive,1,Married,242387,8,No,23,4,2,2,33,3,2,6,14,5,9
46,37,No,Travel_Rarely,Sales,27,1,Other,1,Male,3,4,Healthcare Representative,2,Single,213392,6,No,21,3,2,1,12,4,2,21,10,12,6
47,45,No,Travel_Frequently,Research & Development,11,3,Medical,2,Female,4,1,Healthcare Representative,3,Single,79629,6,No,19,4,1,1,12,3,4,4,16,5,17
48,24,No,Travel_Frequently,Human Resources,16,5,Human Resources,2,Female,4,3,Manager,2,Single,144921,4,Yes,17,3,3,1,9,3,1,6,0,2,4
49,25,No,Non-Travel,Human Resources,21,5,Life Sciences,4,Male,3,4,Sales Executive,1,Single,236672,7,No,13,4,1,0,28,3,2,34,4,2,17
50,52,Yes,Travel_Rarely,Human Resources,8,3,Other,2,Male,2,4,Manager,2,Divorced,138774,3,No,12,3,1,3,32,6,1,9,17,2,1
